类别：所有类别

semaine,toilet paper: (Japon)
2020-02-09,9
2020-02-16,8
2020-02-23,50
2020-03-01,100
2020-03-08,50
2020-03-15,38
2020-03-22,29
2020-03-29,18
2020-04-05,10
2020-04-12,11
2020-04-19,12
2020-04-26,8
2020-05-03,10
2020-05-10,12
2020-05-17,9
2020-05-24,5
2020-05-31,4
2020-06-07,9
2020-06-14,4
2020-06-21,5
2020-06-28,4
2020-07-05,4
2020-07-12,1
2020-07-19,8
2020-07-26,5
2020-08-02,2
2020-08-09,3
2020-08-16,9
2020-08-23,4
2020-08-30,3
2020-09-06,3
2020-09-13,6
2020-09-20,1
2020-09-27,2
2020-10-04,7
2020-10-11,1
2020-10-18,1
2020-10-25,2
2020-11-01,2
2020-11-08,4
2020-11-15,7
2020-11-22,2
2020-11-29,6
2020-12-06,2
2020-12-13,6
2020-12-20,12
2020-12-27,6
2021-01-03,6
2021-01-10,5
2021-01-17,6
2021-01-24,3
2021-01-31,6
2021-02-07,3
2021-02-14,5
2021-02-21,5
2021-02-28,0
2021-03-07,9
2021-03-14,8
2021-03-21,4
2021-03-28,16
2021-04-04,19
2021-04-11,6
2021-04-18,1
2021-04-25,3
2021-05-02,8
2021-05-09,8
2021-05-16,4
2021-05-23,9
2021-05-30,4
2021-06-06,3
2021-06-13,5
2021-06-20,2
2021-06-27,3
2021-07-04,2
2021-07-11,3
2021-07-18,2
2021-07-25,4
2021-08-01,2
2021-08-08,3
2021-08-15,3
2021-08-22,6
2021-08-29,1
2021-09-05,2
2021-09-12,1
2021-09-19,3
2021-09-26,1
2021-10-03,3
2021-10-10,2
2021-10-17,1
2021-10-24,2
2021-10-31,5
2021-11-07,6
2021-11-14,8
2021-11-21,2
2021-11-28,7
2021-12-05,6
2021-12-12,3
2021-12-19,8
2021-12-26,1
2022-01-02,2
2022-01-09,4
2022-01-16,2
2022-01-23,3
2022-01-30,7
2022-02-06,4
2022-02-13,6
2022-02-20,2
2022-02-27,5
2022-03-06,4
2022-03-13,4
2022-03-20,1
2022-03-27,9
2022-04-03,5
2022-04-10,0
